init
1 1 [4990.25, 5041.0, 4998.25, 5047.5]
0 1 [3059.0, 3240.0, 3049.0, 3233.75]
1 0 [3307.0, 3444.25, 3310.5, 3446.5]
1 1 [4992.25, 5043.0, 5000.0, 5049.5]
0 0 [4053.0, 3938.75, 4052.75, 3938.75]
0 1 [3058.25, 3239.25, 3048.25, 3232.75]
1 0 [3305.0, 3442.25, 3308.5, 3444.75]
1 1 [4989.75, 5040.5, 4997.5, 5046.75]
0 0 [4053.25, 3939.25, 4053.0, 3939.25]
0 1 [3057.25, 3240.5, 3047.25, 3234.25]
1 0 [3306.5, 3442.5, 3310.25, 3445.25]
1 1 [4994.0, 5039.0, 5002.0, 5045.5]
0 0 [4054.5, 3940.5, 4054.0, 3940.25]
0 1 [3054.75, 3246.75, 3045.0, 3240.25]
1 0 [3305.75, 3438.0, 3309.5, 3440.75]
1 1 [4993.75, 5029.75, 5001.5, 5036.25]
0 0 [4052.0, 3938.5, 4051.25, 3938.0]
0 1 [3049.75, 3251.25, 3040.25, 3245.0]
1 0 [3309.0, 3437.75, 3313.25, 3440.75]
1 1 [5001.5, 5030.0, 5009.5, 5036.5]
0 0 [4055.5, 3941.75, 4054.25, 3941.5]
0 1 [3048.0, 3256.75, 3039.0, 3250.75]
1 0 [3311.25, 3437.25, 3315.5, 3440.0]
1 1 [5000.25, 5023.5, 5008.5, 5030.0]
0 0 [4053.0, 3940.0, 4052.0, 3939.25]
0 1 [3044.25, 3257.25, 3035.5, 3251.5]
1 0 [3309.75, 3434.0, 3314.25, 3437.0]
1 1 [5003.25, 5023.5, 5011.5, 5030.0]
0 0 [4055.75, 3943.0, 4054.5, 3942.0]
0 1 [3045.0, 3260.0, 3036.25, 3254.0]
1 0 [3312.5, 3436.0, 3316.75, 3439.0]
1 1 [5003.5, 5023.5, 5011.5, 5029.75]
0 0 [4053.5, 3940.5, 4052.25, 3939.75]
0 1 [3043.0, 3257.5, 3034.25, 3251.75]
1 0 [3310.0, 3433.75, 3314.5, 3436.75]
1 1 [5002.25, 5022.0, 5010.25, 5028.5]
0 0 [4054.25, 3941.25, 4052.75, 3940.25]
0 1 [3043.25, 3258.25, 3034.5, 3252.25]
1 0 [3312.5, 3436.25, 3317.0, 3439.25]
1 1 [5003.0, 5023.0, 5011.25, 5029.5]
0 0 [4053.0, 3940.25, 4051.75, 3939.5]
0 1 [3042.75, 3257.25, 3034.0, 3251.5]
1 0 [3308.75, 3432.5, 3313.0, 3435.25]
1 1 [5001.0, 5021.25, 5009.25, 5027.5]
0 0 [4052.5, 3939.5, 4051.25, 3938.75]
0 1 [3043.0, 3258.0, 3034.25, 3252.25]
1 0 [3311.0, 3434.75, 3315.25, 3437.75]
1 1 [5001.75, 5021.75, 5010.0, 5028.0]
0 0 [4054.0, 3941.25, 4052.75, 3940.5]
0 1 [3045.0, 3259.75, 3036.25, 3253.75]
1 0 [3310.25, 3434.0, 3314.5, 3436.75]
1 1 [5001.0, 5021.25, 5009.25, 5027.5]
0 0 [4052.25, 3939.5, 4051.25, 3938.75]
0 1 [3042.5, 3257.25, 3034.0, 3251.5]
1 0 [3310.75, 3434.75, 3315.0, 3437.5]
1 1 [5003.0, 5023.0, 5011.0, 5029.25]
0 0 [4054.75, 3941.75, 4053.5, 3941.0]
0 1 [3044.5, 3259.25, 3035.75, 3253.25]
1 0 [3312.75, 3436.5, 3317.0, 3439.5]
